number,val_loss,train_loss,alpha,dropout,layer_size,lr,num_layers,optimizer,duration_sec,mae,r2,seed,duration
145,4.2598119875947305e-07,3.505765400202421e-10,0.0,0.0,476,0.000800704498425833,8,AdamW,1.3389973640441895,0.0004803971096407622,0.7191083431243896,15557,0 days 00:00:01.339751
64,4.5652760150005633e-07,1.4396873915245578e-08,0.0,0.0,809,9.853272979458808e-06,8,AdamW,1.0974345207214355,0.0005516622331924736,0.6989660859107971,15557,0 days 00:00:01.099329
138,4.738016912142484e-07,3.4287598538185193e-08,0.0,0.0,285,0.0008346413468427776,6,AdamW,0.381131649017334,0.0005359632195904851,0.6875755190849304,15557,0 days 00:00:00.381229
89,4.896010068478063e-07,1.7349324199500415e-09,0.0,0.0,746,0.00047113884705588584,9,AdamW,1.8888916969299316,0.0005560755962505937,0.677157461643219,15557,0 days 00:00:01.889329
108,6.010122888255864e-07,9.873706119378767e-08,0.0,0.0,831,0.0004988464559453093,11,AdamW,1.921546220779419,0.0005914562498219311,0.6036929488182068,15557,0 days 00:00:01.922795
122,6.036333388692583e-07,3.585821917173604e-10,0.0,0.0,803,0.0007833441465175383,10,AdamW,2.5633509159088135,0.0005905632860958576,0.6019647121429443,15557,0 days 00:00:02.564791
129,6.944014785403851e-07,2.811077138176188e-06,0.0,0.0,945,0.0007575282459416938,5,AdamW,0.878894567489624,0.0006904377369210124,0.5421122312545776,15557,0 days 00:00:00.881860
12,7.301880486920709e-07,1.6839075556163152e-07,0.0,0.0,471,1.4665928741963195e-05,8,AdamW,0.674168586730957,0.0006843508454039693,0.5185146331787109,15557,0 days 00:00:00.674352
37,8.911847544368356e-07,2.0100179654036765e-07,0.0,0.0,797,0.0005422048312882942,13,AdamW,2.4988811016082764,0.0006918131257407367,0.4123535752296448,15557,0 days 00:00:02.500807
93,9.346729257231345e-07,2.399471377145801e-08,0.0,0.0,830,0.00036923901540676695,5,AdamW,1.1731195449829102,0.0008279973990283906,0.38367748260498047,15557,0 days 00:00:01.174408
149,9.887701253319392e-07,1.2033704699376813e-08,0.0,0.0,775,0.0006454567684774278,6,AdamW,1.2097597122192383,0.0006399070261977613,0.34800583124160767,15557,0 days 00:00:01.211260
124,1.0108655033036484e-06,1.0441365105862133e-08,0.0,0.0,824,0.0008401282275098757,6,AdamW,1.7871015071868896,0.000636948854662478,0.33343613147735596,15557,0 days 00:00:01.788492
27,1.2564320286401198e-06,8.57851816249422e-08,0.0,0.0,594,0.0001180090102104077,5,AdamW,0.5240218639373779,0.000921395025216043,0.1715097427368164,15557,0 days 00:00:00.524125
80,1.3277306152303936e-06,3.522870315464388e-07,0.0,0.0,615,0.0002708060210003169,7,AdamW,0.5737338066101074,0.0009560055914334953,0.12449544668197632,15557,0 days 00:00:00.575032
4,1.3924618542660028e-06,3.100461526628351e-06,0.0,0.0,282,6.609672996716886e-06,8,AdamW,0.15116095542907715,0.000942189886700362,0.08181190490722656,15557,0 days 00:00:00.151337
39,1.524677713860001e-06,5.509941729542334e-06,0.0,0.0,869,0.0005835602236665126,15,AdamW,1.7248446941375732,0.0008743791840970516,-0.00537109375,15557,0 days 00:00:01.730001
5,1.533907493467268e-06,5.260375928628491e-06,0.0,0.0,540,0.00010131089458311636,13,AdamW,1.5703253746032715,0.0008724924409762025,-0.011457204818725586,15557,0 days 00:00:01.571272
21,1.5360251381935086e-06,6.721172667312203e-06,0.0,0.0,539,0.00020653254655181953,17,AdamW,0.6735570430755615,0.0009559679892845452,-0.012853741645812988,15557,0 days 00:00:00.674950
61,1.552009052829817e-06,6.1025170907669235e-06,0.0,0.0,754,0.0008069696265363562,30,AdamW,3.1897411346435547,0.000975988688878715,-0.02339339256286621,15557,0 days 00:00:03.191161
131,1.568078005220741e-06,6.90406250214437e-06,0.0,0.0,697,8.652413910657016e-05,12,AdamW,0.7303578853607178,0.0010018544271588326,-0.0339893102645874,15557,0 days 00:00:00.734099
29,1.5841865206311923e-06,7.288610504474491e-06,0.0,0.0,722,0.0001749396177787434,16,AdamW,1.03751802444458,0.0010055417660623789,-0.044611215591430664,15557,0 days 00:00:01.038848
58,1.6021360806917073e-06,7.905266102170572e-06,0.0,0.0,640,0.0001691609688264991,13,AdamW,0.4535088539123535,0.0009059021831490099,-0.05644714832305908,15557,0 days 00:00:00.454204
94,1.6077462987595936e-06,8.002684808161575e-07,0.0,0.0,800,1.3807438473224196e-06,8,AdamW,3.9835031032562256,0.0010615107603371143,-0.060146450996398926,15557,0 days 00:00:03.984686
40,1.615709606994642e-06,7.81860580900684e-06,0.0,0.0,743,0.0002535998037169314,12,AdamW,0.8809161186218262,0.0010288418270647526,-0.06539762020111084,15557,0 days 00:00:00.882845
73,1.6547290897506173e-06,2.261702320538461e-06,0.0,0.0,762,0.0006531940355709458,10,AdamW,0.9014909267425537,0.0010615633800625801,-0.09112691879272461,15557,0 days 00:00:00.902405
